start_time, end_time
31, 45
79.5, 82
96, 104
112, 115
127.4, 130
180, 182
205, 206.9
212, 214
269, 271
324, 327
356, 359
367.3, 371
389, 392
433, 435
516, 518
528, 531
563.5, 566
580, 582
596, 599.5
661, 663
676, 679
692, 696
720, 722
739.5, 743
755.5, 758
844, 849
869, 872
884, 887
894.6, 896
899.5, 901
932, 935
996, 999
1007, 1015
1028, 1031
1076, 1079
1139, 1141
1183, 1186
1199, 1202
1265, 1266.5
1283, 1285
1332, 1334
1343, 1348
1364, 1366
1439, 1442
1445, 1447.5
1454.5, 1458
1459, 1462
1467, 1469
1808, 1810.4
1822.5, 1825
1838.4, 1840.3
1856, 1860
1871, 1874
1891, 1894
1900, 1901.5
1936, 1940
1950.3, 1953
1966.5, 1974
1982.5, 1986
2006, 2013
2091, 2093
2110,  2117
2123, 2128
2132, 2134
2163, 2167
2205.5, 2209
2227, 2231
2245, 2247
2259, 2262
2284, 2288
2291, 2294
2318, 2321
2324, 2327
2334, 2337
2341, 2343
2350, 2353
2371, 2373
2386.5, 2390
2398, 2400
2414, 2418
2452, 2455
2494, 2495
2531, 2534
2546.5, 2549
2592, 2596
2623, 2646
2654, 2657
2686, 2688
2738, 2752
2765.5, 2769
2771, 2774
2782, 2791.7
2846, 2849.5
2866, 2870
2891, 2895
2916, 2918
2958, 2965
2978, 2982
3023, 3025
3038, 3041
3059, 3062
3091, 3094
3102, 3104
3140, 3143.5
3178, 3180.7
3203, 3206
3230, 3233
3234, 3238
3245, 3291









