start_time, end_time
32, 37
100, 102
145, 147.9
193.5, 195.5
241, 243
320, 323
369, 371
403, 404
448, 450
544, 547.5
626, 627.5
643, 643.5
705, 707
754, 757
768, 771
785, 787
832, 834
848, 856
867.6, 870
900, 904
911.2, 915
945, 947.2
977, 984
993, 995
1012, 1016
1024, 1027
1137, 1144
1152, 1154
1199, 1202
1268, 1271
1284, 1288
1295, 1297
1328, 1330
1344, 1351
1360, 1367
1407, 1410
1441, 1442.7
1818, 1821
1849.5, 1855
1865, 1873
1945.3, 1948
1967, 1969
1994, 1996
2042, 2045
2057, 2061
2138, 2141
2203, 2205
2250, 2253
2318, 2320
2377, 2380
2414, 2417
2425, 2428
2445.5, 2449
2456.5, 2461
2521, 2525
2569, 2572
2650, 2652
2716, 2718
2745, 2753.5
2761, 2764
2809, 2812
2858, 2860
2889, 2895
3007, 3009
3037, 3038
3074, 3084
3115, 3116.4
3145, 3148
3160.3, 3164
3225, 3267



















