start_time, end_time
19, 24
202, 204.7
373, 375.7
536, 539
649, 652.2
824, 828
835, 844
858, 863
873, 876
933, 938
1077, 1082
1177, 1182
1240, 1243.3
1413, 1456
1811, 1814.5
1827, 1830
1859, 1866
2004, 2006.4
2020, 2027
2035, 2041
2051, 2054
2065.7, 2070.2
2119, 2123
2194, 2197
2246.5, 2250
2338.2, 2341
2386, 2390
2403, 2405
2415, 2420
2487, 2491
2515, 2518
2551, 2554
2597, 2602
2627, 2633
2642, 2644
2655, 2666
2678.4, 2682
2721.3, 2724
2753.8, 2762
2766, 2773
2776, 2782
2786, 2789
2807, 2810
2871, 2874
2895, 2901
2921, 2925
2999, 3006
3030, 3034
3041, 3044
3080, 3088
3095, 3104
3128, 3130.5
3233, 3236



